label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,filepath,exists
polka_dot,534,304,142,392,asos_202345339.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_202345339.jpg,True
floral,480,493,172,290,asos_203232535.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_203232535.jpg,True
polka_dot,442,338,72,146,asos_204701599.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_204701599.jpg,True
floral,387,434,96,228,asos_204757013.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_204757013.jpg,True
polka_dot,338,277,108,307,asos_204860614.jpg,1000,1277,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_204860614.jpg,True
floral,522,478,191,167,asos_205447535.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_205447535.jpg,False
polka_dot,512,673,226,152,asos_205637701.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_205637701.jpg,True
floral,395,664,192,249,asos_205768909.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_205768909.jpg,False
floral,453,655,253,277,asos_205826867.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_205826867.jpg,True
polka_dot,407,854,280,284,asos_205881015.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_205881015.jpg,True
polka_dot,441,422,181,157,asos_206109041.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206109041.jpg,True
floral,463,692,243,201,asos_206137090.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_206137090.jpg,True
polka_dot,404,510,127,132,asos_206155568.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206155568.jpg,True
floral,443,360,128,462,asos_206172476.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_206172476.jpg,True
polka_dot,492,442,123,223,asos_206174459.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206174459.jpg,True
polka_dot,465,353,120,177,asos_206264287.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206264287.jpg,True
floral,407,395,132,186,asos_206369748.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_206369748.jpg,True
polka_dot,413,393,112,125,asos_206383512.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206383512.jpg,True
polka_dot,439,570,143,211,asos_206399897.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\polka_dot\asos_206399897.jpg,True
floral,463,425,101,284,asos_206477200.jpg,1000,1276,C:/Users/rlarh/Desktop/tops-pattern/data/raw/tops\floral\asos_206477200.jpg,True
